# static_c=1_k=2_n=250_b=-0.1_p=0
#
# N1	aoic	stdev
0	-1.01684	0.0446492
3	-0.947519	0.0508874
6	-0.874646	0.0595267
9	-0.801245	0.0677436
12	-0.720291	0.0738129
15	-0.639254	0.0816208
18	-0.564518	0.0854878
21	-0.486547	0.0888019
24	-0.404968	0.0922613
27	-0.338052	0.0909117
30	-0.257332	0.09632
33	-0.18189	0.0995917
36	-0.109372	0.102289
39	-0.0357941	0.104448
42	0.0406881	0.103917
45	0.094781	0.101491
48	0.154178	0.103328
51	0.220694	0.103233
54	0.279186	0.100653
57	0.334627	0.100037
60	0.39031	0.0999118
63	0.439408	0.0993582
66	0.486178	0.0992067
69	0.537568	0.0951723
72	0.577754	0.0914076
75	0.6207	0.0915252
78	0.66437	0.090659
81	0.702793	0.0877612
84	0.733964	0.0862836
87	0.767711	0.0867926
90	0.804321	0.0828496
93	0.836842	0.0780649
96	0.857557	0.0749704
99	0.887421	0.0732811
102	0.913915	0.0716077
105	0.931751	0.063607
108	0.956813	0.0674691
111	0.976966	0.0619732
114	0.996978	0.0588707
117	1.01491	0.0563982
120	1.03084	0.0563072
123	1.04785	0.0493527
126	1.06029	0.0492782
129	1.07375	0.0446449
132	1.08526	0.0443525
135	1.09706	0.0397597
138	1.10626	0.0387682
141	1.11911	0.0353025
144	1.12938	0.0344776
147	1.13845	0.0312253
150	1.14646	0.0282648
