# static_c=1_k=2_n=250_b=-0.1_p=0.1
#
# N1	aoic	stdev
0	-1.03424	0.0289
3	-0.979716	0.0421847
6	-0.918149	0.0565582
9	-0.851713	0.0690146
12	-0.779055	0.0846197
15	-0.701384	0.0938729
18	-0.608328	0.110345
21	-0.531006	0.120551
24	-0.440447	0.125419
27	-0.354199	0.133686
30	-0.272515	0.133628
33	-0.177349	0.141818
36	-0.0967011	0.142133
39	-0.0107653	0.150541
42	0.0706973	0.145919
45	0.149489	0.145925
48	0.226086	0.140449
51	0.287034	0.142322
54	0.345152	0.131532
57	0.412168	0.128417
60	0.469807	0.128535
63	0.520468	0.119259
66	0.569033	0.118145
69	0.616644	0.117074
72	0.666321	0.115881
75	0.707256	0.105263
78	0.742469	0.100498
81	0.776433	0.0983409
84	0.807162	0.0968923
87	0.839683	0.0892699
90	0.863231	0.0878312
93	0.892623	0.0808955
96	0.913686	0.0780446
99	0.940082	0.0756343
102	0.957523	0.071861
105	0.983287	0.0651866
108	1.0002	0.0623085
111	1.01427	0.0609358
114	1.03259	0.0547832
117	1.04482	0.0523032
120	1.06083	0.049122
123	1.07217	0.047899
126	1.08431	0.044334
129	1.09286	0.0424501
132	1.10666	0.0373011
135	1.11486	0.034646
138	1.12341	0.0341411
141	1.13207	0.0302493
144	1.14173	0.0274112
147	1.1477	0.0264745
150	1.15526	0.0239628
