# static_c=1_k=2_n=250_b=-0.1_p=0.9
#
# N1	aoic	stdev
0	-1.04471	0.00148125
3	-1.03474	0.00370298
6	-1.0194	0.0885164
9	-1.00634	0.0886049
12	-0.978682	0.185667
15	-0.946222	0.252574
18	-0.856705	0.424748
21	-0.77739	0.523759
24	-0.617475	0.675939
27	-0.333537	0.830943
30	-0.0636119	0.881391
33	0.213154	0.865392
36	0.490426	0.772503
39	0.700699	0.63399
42	0.834436	0.487985
45	0.946854	0.305755
48	0.97905	0.239241
51	1.00984	0.147337
54	1.03049	0.047996
57	1.03654	0.0232442
60	1.0402	0.0389808
63	1.04677	0.00535488
66	1.05139	0.00690195
69	1.05605	0.00521635
72	1.06073	0.00451714
75	1.06525	0.00478322
78	1.06994	0.00352603
81	1.07445	0.00361331
84	1.07903	0.00391388
87	1.08345	0.00322158
90	1.08812	0.00283737
93	1.09251	0.00362881
96	1.09678	0.0030073
99	1.10105	0.00387845
102	1.10559	0.00361962
105	1.10983	0.00373327
108	1.11423	0.00327771
111	1.11854	0.00325653
114	1.12279	0.00286643
117	1.12718	0.00271236
120	1.13125	0.00267676
123	1.13557	0.00264469
126	1.13972	0.00263581
129	1.14406	0.00259612
132	1.14818	0.00248018
135	1.15224	0.0026573
138	1.15652	0.00243279
141	1.16049	0.00237557
144	1.16459	0.0026529
147	1.1686	0.00265306
150	1.17265	0.0023356
