# static_c=1_k=2_n=250_b=-0.1_p=0.3
#
# N1	aoic	stdev
0	-1.0452	0.00721212
3	-1.01667	0.0232353
6	-0.980939	0.0414074
9	-0.946332	0.048764
12	-0.888206	0.0705193
15	-0.819461	0.101499
18	-0.756395	0.124934
21	-0.658937	0.163157
24	-0.551628	0.194689
27	-0.429613	0.237715
30	-0.293755	0.267701
33	-0.165461	0.278369
36	-0.0214376	0.287812
39	0.101553	0.289596
42	0.206944	0.279829
45	0.30469	0.268288
48	0.404917	0.243397
51	0.500093	0.221656
54	0.560402	0.210706
57	0.631205	0.185704
60	0.680965	0.175541
63	0.732418	0.158319
66	0.777291	0.139775
69	0.805223	0.130162
72	0.843851	0.121095
75	0.878914	0.109101
78	0.905045	0.102618
81	0.918481	0.0937298
84	0.948947	0.0845325
87	0.966644	0.0762694
90	0.981846	0.0772824
93	1.00369	0.0652785
96	1.01484	0.0655679
99	1.02875	0.0577375
102	1.04322	0.0530265
105	1.05374	0.0492382
108	1.06486	0.0472073
111	1.07391	0.0433592
114	1.08423	0.0416341
117	1.09436	0.0376328
120	1.10268	0.0346762
123	1.11097	0.0333838
126	1.11921	0.029561
129	1.12342	0.0296836
132	1.12987	0.0272285
135	1.13838	0.0235325
138	1.14414	0.0227644
141	1.15077	0.0190684
144	1.15557	0.0185938
147	1.16158	0.016702
150	1.1665	0.0160068
