# static_c=1_k=2_n=250_b=0_p=0.3
#
# N1	aoic	stdev
0	-0.00698392	0.572413
3	0.178649	0.532069
6	0.396443	0.448771
9	0.513634	0.380455
12	0.622492	0.313343
15	0.694473	0.267796
18	0.763059	0.224227
21	0.809364	0.187543
24	0.847042	0.153482
27	0.880669	0.13194
30	0.909304	0.118842
33	0.93263	0.0978424
36	0.950123	0.0908715
39	0.96346	0.0791508
42	0.97915	0.0767725
45	0.992745	0.0668907
48	1.00708	0.0621839
51	1.01742	0.0553842
54	1.02934	0.0530114
57	1.03837	0.0488503
60	1.0457	0.0468259
63	1.05631	0.0425203
66	1.06371	0.0408783
69	1.07262	0.035305
72	1.07989	0.0331593
75	1.08574	0.0323914
78	1.09213	0.0308033
81	1.09842	0.0279815
84	1.10516	0.0272986
87	1.11132	0.023831
90	1.11591	0.023493
93	1.12176	0.0212703
96	1.12537	0.0211609
99	1.13093	0.0192226
102	1.13734	0.0166479
105	1.1417	0.0168831
108	1.14607	0.0153558
111	1.15121	0.0130714
114	1.15605	0.0119232
117	1.16007	0.0117193
120	1.16443	0.0106099
123	1.16902	0.00965685
126	1.17358	0.00798405
129	1.17762	0.00701954
132	1.18132	0.007639
135	1.18573	0.00604832
138	1.18966	0.00626045
141	1.19337	0.00606397
144	1.19703	0.0063971
147	1.20133	0.00479231
150	1.20522	0.00469168
