# static_c=1_k=2_n=250_b=0_p=0.9
#
# N1	aoic	stdev
0	-0.0195777	0.997136
3	0.241043	0.960911
6	0.514711	0.848227
9	0.702543	0.704166
12	0.868471	0.505043
15	0.936292	0.384482
18	0.992771	0.23568
21	1.02597	0.0757569
24	1.03262	0.0488279
27	1.03845	0.00267158
30	1.04297	0.00231886
33	1.04723	0.00227241
36	1.05159	0.00245473
39	1.05601	0.00238447
42	1.06048	0.00240306
45	1.06476	0.00232526
48	1.06893	0.00247374
51	1.07326	0.00242104
54	1.07749	0.00250842
57	1.08177	0.00245178
60	1.08603	0.00246847
63	1.09018	0.00250143
66	1.09445	0.00247618
69	1.09862	0.00257109
72	1.10284	0.00244888
75	1.10679	0.00252167
78	1.11096	0.00258219
81	1.11503	0.00246328
84	1.11905	0.0023876
87	1.12309	0.00257688
90	1.12723	0.00244414
93	1.13141	0.0024426
96	1.13523	0.00247654
99	1.13925	0.00245324
102	1.14328	0.00247332
105	1.14736	0.00232807
108	1.15113	0.00240653
111	1.1551	0.00241748
114	1.15898	0.00232812
117	1.16288	0.00233198
120	1.16685	0.00223777
123	1.17062	0.00226995
126	1.17464	0.00222716
129	1.17844	0.00218701
132	1.18238	0.00221371
135	1.18608	0.00223247
138	1.18993	0.00217103
141	1.19366	0.00213706
144	1.19753	0.00218928
147	1.20119	0.00211982
150	1.20518	0.0021104
