# dynamic_c=1_k=2_n=250_b=-0.08_p=0.1
#
# N1	aoic	stdev
0	-1.04648	0.0113566
3	-1.00652	0.0274041
6	-0.954924	0.0432895
9	-0.895311	0.0648043
12	-0.818418	0.0849694
15	-0.735688	0.107407
18	-0.623644	0.146988
21	-0.518743	0.161796
24	-0.393532	0.170437
27	-0.268635	0.190038
30	-0.146691	0.189992
33	-0.0273901	0.197798
36	0.0891631	0.198535
39	0.198017	0.202286
42	0.307232	0.205817
45	0.414173	0.196609
48	0.503545	0.190139
51	0.582891	0.180231
54	0.67229	0.167024
57	0.735601	0.150093
60	0.789878	0.145003
63	0.847287	0.12337
66	0.894357	0.114025
69	0.926009	0.100316
72	0.959386	0.0881044
75	0.994337	0.0783301
78	1.01425	0.0682709
81	1.0386	0.0596535
84	1.05376	0.050632
87	1.06784	0.0427962
90	1.07895	0.0381871
93	1.0882	0.0350083
96	1.09946	0.0278436
99	1.10732	0.0257346
102	1.11482	0.0206555
105	1.12072	0.0198672
108	1.12728	0.0162273
111	1.13323	0.0139847
114	1.13837	0.0123513
117	1.14331	0.0109479
120	1.14842	0.00933111
123	1.15314	0.00821365
126	1.15801	0.00577575
129	1.162	0.00698847
132	1.16656	0.00553085
135	1.17096	0.00443361
138	1.17516	0.00377957
141	1.1794	0.00349093
144	1.18361	0.00262319
147	1.18773	0.0016293
150	1.19174	0.00199278
