# dynamic_c=1_k=2_n=250_b=-0.08_p=0
#
# N1	aoic	stdev
0	-0.967483	0.0723535
3	-0.87453	0.0809504
6	-0.790703	0.0824476
9	-0.699604	0.0907843
12	-0.616419	0.0935633
15	-0.526762	0.0952471
18	-0.447414	0.100034
21	-0.36112	0.100126
24	-0.278107	0.106276
27	-0.202188	0.107819
30	-0.125218	0.10934
33	-0.0491525	0.11023
36	0.0149485	0.108265
39	0.0864707	0.108045
42	0.148554	0.108334
45	0.210418	0.105117
48	0.270761	0.105389
51	0.329256	0.106978
54	0.380304	0.104895
57	0.44373	0.1096
60	0.484409	0.0967408
63	0.535453	0.0990878
66	0.566436	0.0950921
69	0.625074	0.0959646
72	0.663456	0.0942883
75	0.702417	0.0898827
78	0.734207	0.0893551
81	0.773258	0.0852827
84	0.804024	0.0848277
87	0.831282	0.0826934
90	0.863802	0.0764198
93	0.88953	0.0770747
96	0.913199	0.0746942
99	0.934453	0.072287
102	0.960688	0.0670079
105	0.977819	0.0644345
108	0.997664	0.0627871
111	1.01736	0.0569984
114	1.03036	0.0580313
117	1.04773	0.0541589
120	1.06342	0.0498865
123	1.07749	0.047708
126	1.08984	0.0474237
129	1.10257	0.0417606
132	1.114	0.0404948
135	1.12493	0.0362931
138	1.13467	0.0350414
141	1.14344	0.0340802
144	1.15453	0.0309211
147	1.16114	0.0283043
150	1.16844	0.0265053
