# static_c=1_k=2_n=250_b=-0.04_p=0.3
#
# N1	aoic	stdev
0	-0.852845	0.251917
3	-0.719602	0.311987
6	-0.571307	0.362285
9	-0.36044	0.439971
12	-0.182262	0.430715
15	-0.00443972	0.431899
18	0.143265	0.409207
21	0.281373	0.372029
24	0.411509	0.33423
27	0.518669	0.307092
30	0.611974	0.25349
33	0.674234	0.220376
36	0.729625	0.201602
39	0.780639	0.164633
42	0.810172	0.148406
45	0.851162	0.124474
48	0.875351	0.119183
51	0.90151	0.101722
54	0.927318	0.100614
57	0.93691	0.0894321
60	0.961586	0.0757839
63	0.973976	0.0756949
66	0.992848	0.0674402
69	1.00446	0.0628047
72	1.01596	0.0602596
75	1.03004	0.0525692
78	1.04177	0.0490145
81	1.05158	0.044058
84	1.0625	0.0420083
87	1.06962	0.0415593
90	1.07801	0.0368906
93	1.0862	0.0353923
96	1.09388	0.0330179
99	1.10012	0.0318978
102	1.10612	0.028608
105	1.11414	0.0280625
108	1.12107	0.0246379
111	1.12645	0.023094
114	1.13198	0.023133
117	1.13879	0.0194625
120	1.14334	0.0196841
123	1.1498	0.0160468
126	1.1543	0.0162023
129	1.15874	0.0150239
132	1.16307	0.0150856
135	1.16857	0.0128729
138	1.17357	0.0112168
141	1.17758	0.0118353
144	1.18224	0.0100565
147	1.1866	0.00936312
150	1.19114	0.0079562
