# static_c=1_k=2_n=250_b=-0.04_p=0.1
#
# N1	aoic	stdev
0	-0.619306	0.184762
3	-0.497436	0.203231
6	-0.386944	0.203256
9	-0.271187	0.207246
12	-0.168202	0.201202
15	-0.0796117	0.190935
18	0.00481866	0.192284
21	0.103717	0.187202
24	0.182416	0.181738
27	0.268989	0.172248
30	0.328501	0.168896
33	0.403198	0.155617
36	0.457073	0.145792
39	0.514168	0.144211
42	0.564296	0.133029
45	0.606642	0.133482
48	0.651687	0.119065
51	0.697198	0.117335
54	0.725625	0.114345
57	0.762802	0.10759
60	0.792213	0.0987783
63	0.826548	0.0953668
66	0.855001	0.0873301
69	0.87357	0.0884064
72	0.899784	0.0792803
75	0.926766	0.0755551
78	0.940664	0.0706369
81	0.964212	0.0674462
84	0.977896	0.0654779
87	0.999189	0.0591046
90	1.01302	0.058172
93	1.02424	0.0544837
96	1.03903	0.0531474
99	1.05253	0.0495459
102	1.06799	0.0444066
105	1.07652	0.0453993
108	1.08609	0.0411435
111	1.0955	0.0391954
114	1.10433	0.0365938
117	1.11352	0.0327306
120	1.12328	0.0314585
123	1.13093	0.0303309
126	1.14075	0.0252206
129	1.14532	0.0264798
132	1.1526	0.0223261
135	1.15771	0.0220026
138	1.16425	0.0199921
141	1.17048	0.0188255
144	1.17583	0.0163424
147	1.18001	0.0171544
150	1.18655	0.0138268
