# static_c=1_k=2_n=250_b=-0.08_p=0.5
#
# N1	aoic	stdev
0	-1.03653	0.0032203
3	-1.01435	0.0283084
6	-0.987486	0.0635031
9	-0.940708	0.153305
12	-0.869062	0.271974
15	-0.807111	0.284614
18	-0.618104	0.466324
21	-0.471593	0.520292
24	-0.281537	0.574243
27	-0.00879535	0.61654
30	0.184891	0.593027
33	0.381261	0.530326
36	0.548348	0.442044
39	0.695353	0.357784
42	0.760299	0.287924
45	0.817026	0.234934
48	0.885562	0.165731
51	0.914362	0.137991
54	0.939177	0.122697
57	0.955578	0.105908
60	0.975485	0.0845749
63	0.992731	0.0717085
66	1.00423	0.0682886
69	1.01614	0.061363
72	1.02857	0.0553943
75	1.03583	0.0486848
78	1.0465	0.0443663
81	1.05598	0.0399227
84	1.06375	0.0400148
87	1.07191	0.0338342
90	1.07972	0.0288078
93	1.08433	0.0288938
96	1.09099	0.0276497
99	1.09612	0.0247845
102	1.10231	0.0239808
105	1.10774	0.0233885
108	1.11386	0.0190448
111	1.11871	0.0188679
114	1.12433	0.0172477
117	1.12894	0.0175075
120	1.13372	0.0157726
123	1.1396	0.0130231
126	1.14361	0.0135057
129	1.14823	0.0117627
132	1.15299	0.0103724
135	1.15754	0.00946545
138	1.16195	0.00872324
141	1.16546	0.00906541
144	1.16999	0.00891626
147	1.17483	0.00616538
150	1.17908	0.00544176
