# static_c=1_k=2_n=250_b=-0.08_p=0.7
#
# N1	aoic	stdev
0	-1.03621	0.00221142
3	-1.02032	0.0594933
6	-0.993909	0.151689
9	-0.959989	0.225894
12	-0.910427	0.313552
15	-0.813324	0.451306
18	-0.647056	0.620326
21	-0.404777	0.764468
24	-0.115012	0.847706
27	0.162848	0.828838
30	0.400171	0.754518
33	0.623036	0.635932
36	0.748645	0.527197
39	0.887144	0.360232
42	0.945467	0.269294
45	0.986128	0.168051
48	1.00624	0.0906369
51	1.02143	0.0419451
54	1.03035	0.049818
57	1.03806	0.0265126
60	1.04233	0.0244955
63	1.04744	0.0254078
66	1.05406	0.0226768
69	1.05866	0.0216192
72	1.06444	0.0181877
75	1.07004	0.0156125
78	1.075	0.0175976
81	1.07966	0.0153624
84	1.08483	0.0127843
87	1.08981	0.0111582
90	1.09417	0.0112021
93	1.09937	0.00850516
96	1.103	0.0103636
99	1.10741	0.0121025
102	1.1122	0.00892695
105	1.11713	0.00732348
108	1.12107	0.00740633
111	1.12545	0.00920043
114	1.13011	0.00562626
117	1.13437	0.00489163
120	1.13874	0.00413628
123	1.1425	0.00583102
126	1.14659	0.00630761
129	1.1509	0.00532897
132	1.1552	0.00395344
135	1.15929	0.00357289
138	1.16357	0.00343787
141	1.16766	0.00233935
144	1.17145	0.00364556
147	1.17542	0.00371003
150	1.17951	0.00362797
