# dynamic_c=1_k=2_n=250_b=-0.04_p=0.5
#
# N1	aoic	stdev
0	-0.937869	0.418081
3	-0.852378	0.532999
6	-0.677207	0.711705
9	-0.527473	0.805543
12	-0.256247	0.917213
15	0.0358007	0.951461
18	0.287304	0.914655
21	0.536151	0.813095
24	0.757856	0.644727
27	0.906542	0.45471
30	0.994018	0.267473
33	1.02002	0.18605
36	1.0435	0.0530344
39	1.04815	0.0509706
42	1.0543	0.000528827
45	1.05889	0.000510294
48	1.06339	0.000540564
51	1.06786	0.000549312
54	1.07236	0.000555841
57	1.0768	0.000568252
60	1.08124	0.000571882
63	1.08566	0.000581333
66	1.09001	0.000574652
69	1.09439	0.000598494
72	1.09872	0.000607012
75	1.10306	0.000589563
78	1.10739	0.000601671
81	1.11166	0.000590227
84	1.11593	0.000588683
87	1.12019	0.000581449
90	1.12437	0.00060164
93	1.12863	0.000580655
96	1.13279	0.000601561
99	1.13699	0.00060527
102	1.14111	0.000590143
105	1.14524	0.00057676
108	1.14938	0.000601109
111	1.15348	0.00057973
114	1.15756	0.000564043
117	1.16167	0.00060295
120	1.16569	0.000591442
123	1.16971	0.000553528
126	1.17375	0.000582206
129	1.17772	0.00058011
132	1.18171	0.000542762
135	1.18566	0.000550124
138	1.18966	0.00054609
141	1.19359	0.000542403
144	1.19751	0.000552945
147	1.20143	0.000540817
150	1.20535	0.000544391
