# static_c=1_k=2_n=250_b=-0.06_p=0.3
#
# N1	aoic	stdev
0	-0.999346	0.0626979
3	-0.925873	0.117019
6	-0.838747	0.171124
9	-0.719712	0.24715
12	-0.593806	0.291911
15	-0.452971	0.311353
18	-0.283059	0.354135
21	-0.124854	0.3666
24	0.0247073	0.369777
27	0.183286	0.335965
30	0.303631	0.321259
33	0.414202	0.289276
36	0.518737	0.26081
39	0.590383	0.240054
42	0.666835	0.20804
45	0.710736	0.184421
48	0.755978	0.164596
51	0.810693	0.14335
54	0.829677	0.136424
57	0.87186	0.118371
60	0.89781	0.106516
63	0.916812	0.105219
66	0.940881	0.092152
69	0.963875	0.0801573
72	0.973475	0.0781555
75	0.992386	0.0728404
78	1.00435	0.0674969
81	1.01569	0.0642456
84	1.03114	0.0569764
87	1.04476	0.0518984
90	1.05289	0.0490894
93	1.06354	0.0456131
96	1.07361	0.0420691
99	1.08147	0.040509
102	1.08772	0.0384166
105	1.09762	0.0346323
108	1.10601	0.0306892
111	1.11241	0.0296975
114	1.11726	0.0292929
117	1.12474	0.0259755
120	1.13139	0.0242132
123	1.13773	0.0208529
126	1.14249	0.0209509
129	1.14795	0.0192643
132	1.15326	0.0187141
135	1.15811	0.0180373
138	1.16438	0.0152457
141	1.16805	0.014984
144	1.17346	0.0130317
147	1.17856	0.0117396
150	1.18277	0.0112523
