# static_c=1_k=2_n=250_b=-0.06_p=0.9
#
# N1	aoic	stdev
0	-1.00266	0.216955
3	-0.946935	0.359908
6	-0.877939	0.476734
9	-0.812017	0.55555
12	-0.629283	0.733821
15	-0.414111	0.854928
18	-0.0847347	0.939688
21	0.219239	0.918245
24	0.41031	0.84997
27	0.676719	0.689469
30	0.836933	0.518027
33	0.945971	0.334092
36	0.994064	0.203322
39	1.00921	0.16798
42	1.02742	0.0899867
45	1.03541	0.0535032
48	1.04097	0.0423905
51	1.04536	0.0471763
54	1.05149	0.00289164
57	1.05582	0.00312781
60	1.06032	0.00279489
63	1.06488	0.00338757
66	1.06934	0.00292112
69	1.07368	0.00374363
72	1.07836	0.0026933
75	1.08244	0.00326121
78	1.08692	0.00397951
81	1.0913	0.00277781
84	1.09554	0.00270962
87	1.09999	0.00266389
90	1.10403	0.00281583
93	1.10844	0.00267495
96	1.11277	0.00269226
99	1.11689	0.00274853
102	1.12113	0.00266863
105	1.12527	0.00254943
108	1.12947	0.00266129
111	1.13379	0.00258308
114	1.13782	0.00249254
117	1.14199	0.00248906
120	1.14607	0.00237582
123	1.15004	0.00242028
126	1.15408	0.00249445
129	1.15814	0.00248697
132	1.16214	0.00247049
135	1.16628	0.00237803
138	1.17017	0.00237301
141	1.174	0.00225261
144	1.17814	0.00230683
147	1.18213	0.00226478
150	1.18602	0.00210506
