# static_c=1_k=2_n=250_b=-0.06_p=0.7
#
# N1	aoic	stdev
0	-1.00545	0.201601
3	-0.969963	0.276709
6	-0.919168	0.365519
9	-0.796999	0.53973
12	-0.646493	0.678316
15	-0.388404	0.823286
18	-0.16362	0.878133
21	0.167915	0.878346
24	0.426374	0.787153
27	0.655605	0.649327
30	0.827029	0.479165
33	0.905461	0.365242
36	0.976591	0.215413
39	0.998468	0.153938
42	1.01936	0.0775343
45	1.02804	0.0523844
48	1.03463	0.0325113
51	1.04097	0.0214419
54	1.04615	0.0245523
57	1.05126	0.0193488
60	1.05826	0.0118898
63	1.06131	0.0157605
66	1.0661	0.0156422
69	1.06991	0.0177896
72	1.07666	0.0103855
75	1.08085	0.0112358
78	1.08574	0.00940111
81	1.08998	0.0113689
84	1.09467	0.00897504
87	1.09887	0.00868541
90	1.10359	0.00701657
93	1.1077	0.0073112
96	1.11211	0.00687036
99	1.11629	0.00694651
102	1.1207	0.00708265
105	1.12514	0.00536683
108	1.12925	0.00552
111	1.13326	0.0055253
114	1.13766	0.00439607
117	1.1417	0.00512045
120	1.14592	0.00453135
123	1.15003	0.00405448
126	1.15412	0.00373162
129	1.15824	0.0040678
132	1.16216	0.00388693
135	1.16624	0.0032517
138	1.17032	0.00328236
141	1.17445	0.00234999
144	1.17839	0.00344618
147	1.18217	0.00229739
150	1.1861	0.00251569
