# static_c=1_k=2_n=250_b=-0.06_p=0.5
#
# N1	aoic	stdev
0	-1.01769	0.118892
3	-0.983625	0.151972
6	-0.908416	0.291401
9	-0.788798	0.422503
12	-0.649019	0.528089
15	-0.490402	0.598318
18	-0.248243	0.667901
21	0.030824	0.677737
24	0.262995	0.626111
27	0.481233	0.550243
30	0.63042	0.446506
33	0.73958	0.355014
36	0.826654	0.280001
39	0.875191	0.230612
42	0.916497	0.172669
45	0.945107	0.149905
48	0.968215	0.09658
51	0.985847	0.076837
54	0.999388	0.0684099
57	1.01303	0.0594571
60	1.02023	0.0576202
63	1.03031	0.0497738
66	1.03798	0.0455471
69	1.04844	0.0397618
72	1.0559	0.0389407
75	1.06086	0.0353757
78	1.06941	0.0337247
81	1.07547	0.0300179
84	1.08131	0.0291947
87	1.08762	0.0257641
90	1.09181	0.024377
93	1.09879	0.0228666
96	1.10448	0.0209397
99	1.11	0.0185583
102	1.11331	0.0198518
105	1.11966	0.0160348
108	1.12424	0.0147533
111	1.12924	0.0146938
114	1.13383	0.0127888
117	1.13763	0.0145885
120	1.14292	0.0122428
123	1.14746	0.0115775
126	1.15145	0.0114681
129	1.15586	0.00996006
132	1.1606	0.00883093
135	1.16478	0.00805125
138	1.16912	0.00754808
141	1.17318	0.00681076
144	1.1775	0.00634552
147	1.18148	0.00588736
150	1.1855	0.00600858
