# static_c=1_k=2_n=250_b=-0.06_p=0.1
#
# N1	aoic	stdev
0	-0.889414	0.110837
3	-0.789764	0.128535
6	-0.681739	0.14898
9	-0.58758	0.152566
12	-0.483299	0.161437
15	-0.364109	0.168226
18	-0.278892	0.168175
21	-0.180937	0.173477
24	-0.0829095	0.17116
27	0.00517863	0.167434
30	0.089675	0.165114
33	0.171118	0.167389
36	0.244553	0.158023
39	0.310275	0.151669
42	0.39146	0.146425
45	0.439847	0.141426
48	0.495212	0.137295
51	0.556668	0.132809
54	0.595133	0.128446
57	0.638868	0.117132
60	0.688356	0.117686
63	0.724421	0.108969
66	0.759615	0.104167
69	0.793108	0.100476
72	0.819119	0.0956581
75	0.852119	0.0922938
78	0.879593	0.0887971
81	0.902364	0.0827054
84	0.924411	0.0806531
87	0.946383	0.0744563
90	0.962958	0.0693547
93	0.982252	0.0671099
96	1.00222	0.0619388
99	1.01417	0.0590118
102	1.03283	0.0542576
105	1.04491	0.0535405
108	1.06055	0.0484609
111	1.06836	0.0471442
114	1.08129	0.0436638
117	1.0925	0.0393721
120	1.10154	0.0394958
123	1.11036	0.0365296
126	1.11835	0.0355693
129	1.1267	0.031352
132	1.13498	0.030084
135	1.14283	0.0269723
138	1.14953	0.0259773
141	1.15793	0.0229327
144	1.16347	0.0223945
147	1.16945	0.0196211
150	1.17478	0.0183982
