# dynamic_c=1_k=2_n=250_b=-0.06_p=0.7
#
# N1	aoic	stdev
0	-1.0296	0.127151
3	-0.994268	0.251983
6	-0.949777	0.352116
9	-0.849818	0.524424
12	-0.715457	0.661996
15	-0.557401	0.7527
18	-0.358118	0.848973
21	-0.105659	0.91407
24	0.222839	0.909884
27	0.475187	0.830093
30	0.677481	0.705771
33	0.859464	0.51967
36	0.968542	0.332283
39	1.00822	0.22987
42	1.03332	0.137712
45	1.04631	0.0721531
48	1.05414	0.000579298
51	1.05879	0.000590101
54	1.06335	0.000606741
57	1.06791	0.000617737
60	1.07245	0.000616351
63	1.07694	0.000608067
66	1.08143	0.000639696
69	1.08588	0.000628655
72	1.09034	0.00060596
75	1.09476	0.000627984
78	1.09915	0.00065605
81	1.10348	0.00061553
84	1.1079	0.0006183
87	1.11219	0.000619038
90	1.11648	0.000625863
93	1.12077	0.000591861
96	1.12504	0.000619814
99	1.12931	0.000626384
102	1.13352	0.000637101
105	1.13773	0.000586538
108	1.14193	0.000590621
111	1.14609	0.00060168
114	1.15027	0.000589439
117	1.15439	0.000607375
120	1.15849	0.000579985
123	1.16262	0.000583586
126	1.16669	0.000557031
129	1.17075	0.00058597
132	1.1748	0.000568179
135	1.17884	0.000558345
138	1.18288	0.000556743
141	1.18686	0.000570275
144	1.19085	0.000557026
147	1.19478	0.000543019
150	1.19876	0.000556022
