# static_c=1_k=2_n=250_b=-0.02_p=0.1
#
# N1	aoic	stdev
0	-0.256344	0.227675
3	-0.151891	0.227505
6	-0.0671182	0.213644
9	0.0279085	0.212153
12	0.119329	0.208345
15	0.20895	0.194805
18	0.272725	0.188639
21	0.356143	0.1748
24	0.408434	0.166417
27	0.478901	0.15427
30	0.54118	0.152284
33	0.57433	0.144532
36	0.625046	0.135707
39	0.681789	0.126792
42	0.717144	0.119386
45	0.754112	0.115102
48	0.78226	0.114468
51	0.81622	0.100288
54	0.84243	0.100641
57	0.867871	0.0949498
60	0.896854	0.0858122
63	0.919677	0.0807906
66	0.94454	0.0773108
69	0.955945	0.0734416
72	0.97352	0.0692014
75	0.991645	0.0641407
78	1.00625	0.0605048
81	1.02229	0.0598543
84	1.03657	0.0537699
87	1.04692	0.0516883
90	1.05988	0.0501486
93	1.07131	0.0448229
96	1.08105	0.0433235
99	1.08733	0.0402207
102	1.09804	0.0387244
105	1.1066	0.0358443
108	1.11654	0.0317603
111	1.12253	0.03278
114	1.13109	0.0282779
117	1.13759	0.0267879
120	1.14468	0.024041
123	1.15035	0.0234331
126	1.15535	0.0217673
129	1.16078	0.0198064
132	1.16764	0.0185987
135	1.17218	0.0173237
138	1.17662	0.0159885
141	1.18263	0.0136202
144	1.18687	0.0128858
147	1.1913	0.0125797
150	1.19573	0.011375
