# static_c=1_k=2_n=250_b=-0.02_p=0
#
# N1	aoic	stdev
0	-0.185	0.158481
3	-0.102897	0.15206
6	-0.0355564	0.151528
9	0.0302882	0.142596
12	0.104251	0.137546
15	0.166606	0.133227
18	0.22893	0.123883
21	0.283606	0.126862
24	0.3447	0.124392
27	0.393599	0.121083
30	0.44034	0.114195
33	0.491078	0.117212
36	0.535171	0.112497
39	0.579574	0.106771
42	0.618115	0.104957
45	0.659067	0.102425
48	0.697931	0.0976304
51	0.723837	0.0971186
54	0.760584	0.0934397
57	0.796519	0.0891164
60	0.820102	0.0851631
63	0.844527	0.0857028
66	0.868144	0.0768618
69	0.897049	0.0790014
72	0.920335	0.0732538
75	0.938662	0.0734515
78	0.960932	0.0660534
81	0.976071	0.0647603
84	0.99635	0.0604779
87	1.00983	0.0587613
90	1.02271	0.0558213
93	1.03621	0.055023
96	1.05382	0.0514341
99	1.06672	0.0470376
102	1.07855	0.044452
105	1.08825	0.0413777
108	1.0983	0.040637
111	1.10703	0.0377023
114	1.11822	0.0345869
117	1.12636	0.0328364
120	1.13104	0.032186
123	1.14005	0.0294638
126	1.14758	0.0263565
129	1.15651	0.0227523
132	1.15994	0.0240139
135	1.16689	0.0216278
138	1.17372	0.0183965
141	1.17891	0.0177126
144	1.1835	0.0169772
147	1.188	0.0163138
150	1.1943	0.0130927
