# static_c=1_k=2_n=250_b=-0.02_p=0.9
#
# N1	aoic	stdev
0	-0.578706	0.819652
3	-0.358986	0.924658
6	-0.0594887	0.981478
9	0.191584	0.958949
12	0.443604	0.870639
15	0.677052	0.7173
18	0.84718	0.531298
21	0.926362	0.390721
24	1.00151	0.198404
27	1.02228	0.108419
30	1.0259	0.113483
33	1.03827	0.00263633
36	1.04277	0.00258666
39	1.04723	0.00249428
42	1.05156	0.00270933
45	1.0561	0.00258953
48	1.06032	0.00349177
51	1.0647	0.00257241
54	1.06921	0.00267678
57	1.07347	0.00250145
60	1.07769	0.00249532
63	1.08195	0.00273899
66	1.0862	0.00284201
69	1.09055	0.0025681
72	1.09465	0.00287051
75	1.09915	0.00253478
78	1.10315	0.00261147
81	1.10723	0.00249713
84	1.11137	0.0026
87	1.11564	0.00248237
90	1.11987	0.00250959
93	1.12381	0.00255922
96	1.12784	0.00252618
99	1.13195	0.00249997
102	1.13607	0.00251586
105	1.14012	0.00245493
108	1.14413	0.00242801
111	1.14805	0.00298726
114	1.1521	0.00240138
117	1.15601	0.0023716
120	1.1601	0.00237124
123	1.16394	0.0022779
126	1.16792	0.00231734
129	1.17167	0.00228448
132	1.17568	0.00218827
135	1.17966	0.00223316
138	1.18338	0.00224012
141	1.18736	0.00220445
144	1.19126	0.00214666
147	1.19494	0.00219257
150	1.19879	0.00211541
