# static_c=1_k=2_n=250_b=-0.02_p=0.7
#
# N1	aoic	stdev
0	-0.536994	0.841834
3	-0.331559	0.923779
6	-0.0683333	0.96269
9	0.208096	0.929024
12	0.486299	0.822695
15	0.682967	0.67494
18	0.846381	0.499998
21	0.919907	0.3754
24	0.980208	0.246801
27	1.0089	0.151343
30	1.02762	0.0617511
33	1.03376	0.0433262
36	1.03962	0.012969
39	1.04443	0.0123076
42	1.04917	0.0114376
45	1.05405	0.0109662
48	1.05885	0.00989134
51	1.06284	0.00963156
54	1.06766	0.00982608
57	1.0724	0.00744879
60	1.07682	0.00808039
63	1.08068	0.00948685
66	1.08533	0.00777379
69	1.08983	0.00664503
72	1.09439	0.00572628
75	1.0986	0.00626278
78	1.1031	0.00473251
81	1.10692	0.00639169
84	1.11153	0.0037393
87	1.11578	0.00373684
90	1.11954	0.00565254
93	1.12392	0.0034276
96	1.12786	0.00378607
99	1.13198	0.00491418
102	1.13613	0.00394103
105	1.14019	0.0035275
108	1.14437	0.00272907
111	1.14821	0.00235627
114	1.15245	0.00267899
117	1.15629	0.00257413
120	1.16017	0.0029052
123	1.1642	0.00241262
126	1.16807	0.0025584
129	1.172	0.00236231
132	1.17597	0.00226539
135	1.17985	0.00214267
138	1.18372	0.00245371
141	1.18759	0.0020186
144	1.19147	0.00200901
147	1.19527	0.00221034
150	1.19909	0.00277407
