# dynamic_c=1_k=2_n=250_b=-0.02_p=0.5
#
# N1	aoic	stdev
0	-0.631549	0.794694
3	-0.410452	0.908031
6	-0.129048	0.975765
9	0.117787	0.971847
12	0.370956	0.909165
15	0.623849	0.772988
18	0.797243	0.613517
21	0.953313	0.370258
24	0.989271	0.287381
27	1.02483	0.167944
30	1.04186	0.0782297
33	1.04991	0.00049515
36	1.05446	0.000482839
39	1.05892	0.000507555
42	1.06343	0.000517303
45	1.06786	0.000517925
48	1.07227	0.000526971
51	1.07669	0.00055481
54	1.08103	0.000539824
57	1.0854	0.000542409
60	1.08978	0.000570781
63	1.09407	0.000537306
66	1.09838	0.00055754
69	1.10267	0.000562073
72	1.10696	0.000572998
75	1.11115	0.00058357
78	1.11538	0.000589001
81	1.11964	0.000580251
84	1.1238	0.000554079
87	1.12797	0.000573622
90	1.1321	0.000594984
93	1.13624	0.000604327
96	1.14035	0.000573425
99	1.14447	0.000579777
102	1.1485	0.000616659
105	1.15261	0.000569243
108	1.15668	0.000581137
111	1.1607	0.000564294
114	1.16473	0.000546799
117	1.16872	0.000572325
120	1.1727	0.000562139
123	1.17668	0.000549389
126	1.1806	0.000568093
129	1.18456	0.000545927
132	1.18848	0.000542711
135	1.19239	0.000540764
138	1.1963	0.000556619
141	1.20017	0.000529377
144	1.20405	0.000503981
147	1.20788	0.000511227
150	1.21173	0.000524099
